Car_Brand,Price,Transmission,Fuel_Type,Mileage,release_year
Toyota AYGO x-trend Hatchback,"£10,290                            ",Manual,Petrol,"31,566 Miles",2021
Toyota AYGO JBL Edition Hatchback,"£10,291                            ",Manual,Petrol,"30,946 Miles",2020
Toyota AYGO x-trend Hatchback,"£10,295                            ",Manual,Petrol,"12,488 Miles",2020
Toyota AYGO x-press Hatchback,"£10,295                            ",Automatic,Petrol,"26,246 Miles",2018
Toyota C-HR Icon SUV,"£10,295                            ",Manual,Petrol,"67,372 Miles",2017
Toyota AYGO x-trend Hatchback,"£10,295                            ",Manual,Petrol,"22,053 Miles",2021
Toyota AYGO x-trend Hatchback,"£10,295                            ",Manual,Petrol,"51,792 Miles",2021
Toyota AYGO x-play Hatchback,"£10,320                            ",Manual,Petrol,"6,128 Miles",2021
Toyota Auris Excel Hatchback,"£10,345                            ",Automatic,Petrol,"46,124 Miles",2014
Toyota Yaris Icon Tech Hatchback,"£10,378                            ",Manual,Petrol,"40,159 Miles",2019
Toyota AYGO x-play Hatchback,"£10,390                            ",Manual,Petrol,"6,567 Miles",2021
Toyota AYGO x-trend Hatchback,"£10,395                            ",Manual,Petrol,"28,977 Miles",2021
Toyota AYGO x-cite Hatchback,"£10,395                            ",Manual,Petrol,"20,277 Miles",2019
Toyota AYGO x-trend Hatchback,"£10,401                            ",Manual,Petrol,"19,582 Miles",2021
Toyota AYGO x-trend Hatchback,"£10,407                            ",Manual,Petrol,"32,167 Miles",2021
Toyota AYGO JBL Edition Hatchback,"£10,412                            ",Manual,Petrol,"23,992 Miles",2020
Toyota AYGO x-cite Hatchback,"£10,417                            ",Manual,Petrol,"29,480 Miles",2019
