"Brand","Model","Price_in_Pounds","Transmission","Fuel_Type","Mileage_in_Miles","Release_Year"
"BMW","iX xDrive40 M Sport",47995,"Automatic","electric",5000,2024
"BMW","iX2 xDrive30 M Sport",34816,"Automatic","electric",2500,2024
"BMW","i5 eDrive40 M Sport Touring",56999,"Automatic","electric",6000,2024
"BMW","iX3 M Sport Pro",46299,"Automatic","electric",8421,2024
"BMW","iX1 xDrive30 M Sport",44499,"Automatic","electric",5837,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",45950,"Automatic","electric",4590,2023
"BMW","iX2 xDrive30 M Sport",43990,"Automatic","electric",3578,2024
"BMW","i7 eDrive50 M Sport",74990,"Automatic","electric",3715,2024
"BMW","iX3 M Sport",43990,"Automatic","electric",4964,2024
"BMW","iX2 xDrive30 M Sport",47950,"Automatic","electric",3864,2024
"BMW","iX2 xDrive30 M Sport",38256,"Automatic","electric",9165,2024
"BMW","i4 eDrive35 M Sport",38990,"Automatic","electric",5000,2024
"BMW","i4 eDrive35 Sport",33485,"Automatic","electric",5000,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",55000,"Automatic","electric",7500,2024
"BMW","i4 eDrive40 M Sport",41995,"Automatic","electric",7873,2023
"BMW","iX1 xDrive30 M Sport",32499,"Automatic","electric",4535,2023
"BMW","iX xDrive50 M Sport",79000,"Automatic","electric",10991,2024
"BMW","i5 eDrive40 M Sport Saloon",37995,"Automatic","electric",15822,2023
"BMW","iX1 xDrive30 xLine",31316,"Automatic","electric",5158,2023
"BMW","iX1 eDrive20 M Sport",31999,"Automatic","electric",2428,2023
"BMW","i7 xDrive60 M Sport",75000,"Automatic","electric",12536,2023
"BMW","i4 M50",65000,"Automatic","electric",4895,2024
"BMW","iX1 xDrive30 M Sport",41000,"Automatic","electric",11000,2024
"BMW","i5 M60 Saloon",60999,"Automatic","electric",10656,2024
"BMW","iX xDrive50 M Sport",65000,"Automatic","electric",12884,2023
"BMW","i5 eDrive40 M Sport Touring",55490,"Automatic","electric",4763,2024
"BMW","i5 eDrive40 M Sport Pro Touring",57341,"Automatic","electric",5275,2024
"BMW","iX1 xDrive30 M Sport",32752,"Automatic","electric",4949,2023
"BMW","iX xDrive40 M Sport",55500,"Automatic","electric",3500,2024
"BMW","iX2 xDrive30 M Sport",40000,"Automatic","electric",10983,2024
"BMW","i7 eDrive50 M Sport",74000,"Automatic","electric",11507,2024
"BMW","i5 eDrive40 M Sport Saloon",49500,"Automatic","electric",7222,2024
"BMW","iX1 eDrive20 M Sport",35500,"Automatic","electric",5793,2024
"BMW","i5 eDrive40 M Sport Pro Touring",58750,"Automatic","electric",7900,2024
"BMW","iX2 xDrive30 M Sport",38816,"Automatic","electric",3874,2024
"BMW","iX1 eDrive20 M Sport",35000,"Automatic","electric",5686,2024
"BMW","iX xDrive40 M Sport",47242,"Automatic","electric",12887,2024
"BMW","iX xDrive50 M Sport",72950,"Automatic","electric",4123,2024
"BMW","i4 M50",51995,"Automatic","electric",7000,2024
"BMW","iX3 M Sport",39890,"Automatic","electric",4927,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",49990,"Automatic","electric",6177,2024
"BMW","iX1 eDrive20 M Sport",34990,"Automatic","electric",2503,2024
"BMW","i4 eDrive35 Sport",37000,"Automatic","electric",6000,2024
"BMW","iX2 xDrive30 M Sport",41500,"Automatic","electric",7913,2024
"BMW","iX2 xDrive30 M Sport",42000,"Automatic","electric",9879,2024
"BMW","i4 eDrive35 Sport",38500,"Automatic","electric",7245,2024
"BMW","i4 eDrive35 Sport",37312,"Automatic","electric",6000,2024
"BMW","iX xDrive40 M Sport",62995,"Automatic","electric",9253,2024
"BMW","i4 eDrive35 Sport",35000,"Automatic","electric",6000,2024
"BMW","iX xDrive50 M Sport",75000,"Automatic","electric",10991,2024
"BMW","i5 eDrive40 M Sport Pro Touring",55000,"Automatic","electric",7900,2024
"BMW","i5 eDrive40 M Sport Pro Touring",54195,"Automatic","electric",9811,2024
"BMW","i5 eDrive40 M Sport Touring",55992,"Automatic","electric",6000,2024
"BMW","i5 eDrive40 M Sport Pro Touring",63000,"Automatic","electric",7900,2024
"BMW","i5 eDrive40 M Sport Pro Touring",54900,"Automatic","electric",6977,2024
"BMW","iX xDrive40 M Sport",54000,"Automatic","electric",4616,2024
"BMW","i4 eDrive35 Sport",34000,"Automatic","electric",6000,2024
"BMW","i4 eDrive35 M Sport",36000,"Automatic","electric",6912,2024
"BMW","iX1 eDrive20 M Sport",34500,"Automatic","electric",5686,2024
"BMW","iX1 eDrive20 M Sport",33500,"Automatic","electric",5686,2024
"BMW","i3 94Ah",10500,"Automatic","electric",38324,2017
